STT;Tên đầy đủ;Mã số doanh nghiệp;Sàn niêm yết;Mã chứng khoán
1426;Ngân hàng TMCP Quốc Tế Việt Nam;0100233488;HOSE;VIB
1427;Tập đoàn Vingroup - CTCP;0101245486;HOSE;VIC
1428;CTCP Đầu Tư Phát Triển Thương Mại Viễn Đông;0300377536;HOSE;VID
1429;CTCP Công nghệ Viễn Thông VITECO;0100686181;UPCOM;VIE
1430;Tổng công ty Lâm nghiệp Việt Nam - CTCP;0100102012;HNX;VIF
1431;Công ty cổ phần Viglacera Hà Nội;0100774247;UPCOM;VIH
1432;CTCP Khoáng sản Viglacera;5200284005;UPCOM;VIM
1433;CTCP Giao nhận Kho vận Ngoại thương Việt Nam;0300648264;UPCOM;VIN
1434;CTCP Vận tải xăng dầu VIPCO;0200113152;HOSE;VIP
1435;Công ty Cổ phần Du lịch Quốc tế Vũng Tàu;3500833679;UPCOM;VIR
1436;Công ty Cổ phần Viglacera Tiên Sơn;2300317851;HNX;VIT
1437;Tổng công ty Đầu tư Nước và Môi trường Việt Nam - CTCP;0100105976;UPCOM;VIW
1438;CTCP Hàng không VietJet;0102325399;HOSE;VJC
1439;CTCP VKC HOLDINGS;3700510650;UPCOM;VKC
1440;CTCP Nhựa Tân Hóa;0300627056;UPCOM;VKP
1441;Công ty Cổ phần Đầu tư và Phát triển Công nghệ Văn Lang;0102459018;HNX;VLA
1442;CTCP Xây dựng và Sản xuất vật liệu xây dựng Biên Hòa;3600275107;UPCOM;VLB
1443;Tổng Công ty chăn nuôi Việt Nam - CTCP;0100104443;UPCOM;VLC
1444;CTCP Lương thực Thực Phẩm Vĩnh Long;1500170900;UPCOM;VLF
1445;Công ty cổ phần VIMC Logistics;0102345275;UPCOM;VLG
1446;CÔNG TY CỔ PHẦN CÔNG TRÌNH CÔNG CỘNG VĨNH LONG;1500169888;UPCOM;VLP
1447;CTCP Cấp nước Vĩnh Long;1500174831;UPCOM;VLW
1448;CTCP Công nghiệp ôtô - Vinacomin;5700353722;UPCOM;VMA
1449;Công ty Cổ phần Vimeco;0101338571;HNX;VMC
1450;Công ty cổ phần Y Dược phẩm Vimedimex;0300479760;HOSE;VMD
1451;CTCP Thương mại và Dịch vụ Dầu khí Vũng Tàu;3500755050;UPCOM;VMG
1452;Công ty Cổ phần Vimarko;0108720772;UPCOM;VMK
1453;CTCP Phát triển Hàng hải;0200580975;HNX;VMS
1454;CTCP Giao nhận Vận tải Miền Trung;0400426836;UPCOM;VMT
1455;CTCP Vận Tải Biển Vinaship;0200119965;UPCOM;VNA
1456;CTCP Sách Việt Nam;0100109829;UPCOM;VNB
1457;CTCP Tập đoàn Vinacontrol;0100107772;HNX;VNC
1458;Tổng CTCP Xây Dựng Điện Việt Nam;0400101450;HOSE;VNE
1459;CÔNG TY CP VINAFREIGHT;0302511219;HNX;VNF
1460;Công ty Cổ phần Du lịch Thành Thành Công;3500753423;HOSE;VNG
1461;CTCP Đầu tư Việt Việt Nhật;0302207804;UPCOM;VNH
1462;Công ty Cổ phần Đầu tư Bất động sản Việt Nam;0304867926;UPCOM;VNI
1463;CÔNG TY CP LOGISTICS VINALINK;0301776205;HOSE;VNL
1464;CÔNG TY CỔ PHẦN SỮA VIỆT NAM;0300588569;HOSE;VNM
1465;Công ty cổ phần Nhựa Việt Nam;0300381966;UPCOM;VNP
1466;Tổng CTCP Tái bảo hiểm quốc gia Việt Nam;28GP/KDBH;HNX;VNR
1467;CTCP Ánh Dương Việt Nam;0302035520;HOSE;VNS
1468;CTCP Giao nhận Vận tải Ngoại thương;0101352858;HNX;VNT
1469;Công ty Cổ phần Quảng cáo và Hội chợ thương mại Vinexad;0100108007;UPCOM;VNX
1470;Công ty Cổ phần Thuốc thú y Trung ương I;0100102326;UPCOM;VNY
1471;CÔNG TY CỔ PHẦN VNG;0303490096;UPCOM;VNZ
1472;Tổng công ty Công nghiệp Dầu thực vật Việt Nam-CTCP (Vocarimex);0300585984;UPCOM;VOC
1473;CTCP Vận tải biển Việt Nam;0200106490;HOSE;VOS
1474;CTCP Vận tải hóa dầu VP;0200809454;UPCOM;VPA
1475;Ngân hàng TMCP Việt Nam Thịnh Vượng;0100233583;HOSE;VPB
1476;CTCP Đầu tư và Phát triển năng lượng Việt Nam;0101601945;UPCOM;VPC
1477;CTCP Phát triển Điện lực Việt Nam;0101264520;HOSE;VPD
1478;CTCP Đầu tư Thương mại Xuất nhập khẩu Việt Phát;0200826844;HOSE;VPG
1479;CTCP Vạn Phát Hưng;0301822194;HOSE;VPH
1480;CTCP Đầu tư Văn Phú - Invest (CTCP Phát triển Bất động sản Văn Phú);0102702590;HOSE;VPI
1481;CÔNG TY CỔ PHẦN VINPEARL;4200456848;HOSE;VPL
1482;Công ty cổ phần VINAPRINT;0301306457;UPCOM;VPR
1483;CTCP Thuốc sát trùng Việt Nam;0300408946;HOSE;VPS
1484;CTCP Cấp thoát nước số I Vĩnh Phúc;2500155742;UPCOM;VPW
1485;Công ty Cổ phần Giám định - Vinacomin;5700100552;UPCOM;VQC
1486;Công Ty Cổ Phần Bất động sản và Đầu tư VRC;3500101523;HOSE;VRC
1487;CTCP Vincom Retail;0105850244;HOSE;VRE
1488;CTCP Phát triển đô thị và KCN cao su Việt Nam (Vinaruco);0800300443;UPCOM;VRG
1489;CTCP Đại lý hàng hải Việt Nam;0300437898;HNX;VSA
1490;CTCP Container Việt Nam;0200453688;HOSE;VSC
1491;CTCP Dịch vụ Đường cao tốc Việt Nam;0102680481;UPCOM;VSE
1492;Tổng công ty Lương thực Miền Nam - CTCP;0300613198;UPCOM;VSF
1493;Công ty Cổ Phần Container Phía Nam;0301872364;UPCOM;VSG
1494;CTCP Thủy điện Vĩnh Sơn-Sông Hinh;4100562786;HOSE;VSH
1495;CTCP Đầu tư và Xây dựng Cấp thoát nước;0300393538;HOSE;VSI
1496;CTCP Container miền Trung;0400424349;HNX;VSM
1497;CTCP Việt Nam Kỹ nghệ Súc sản;0300105356;UPCOM;VSN
1498;CTCP Vận tải và Thuê tàu biển Việt Nam;0300448709;UPCOM;VST
1499;CTCP VITALY;0300398078;UPCOM;VTA
1500;CÔNG TY CỔ PHẦN VIETTRONICS TÂN BÌNH;0300391837;HOSE;VTB
1501;CTCP Viễn Thông VTC;0301888195;HNX;VTC
1502;CÔNG TY CỔ PHẦN VIETOURIST HOLDINGS;0311273634;UPCOM;VTD
1503;CTCP Vinacap Kim Long;0102306413;UPCOM;VTE
1504;Công ty Cổ phần Du lịch tỉnh Bà Rịa Vũng Tàu;3500101812;UPCOM;VTG
1505;Công ty Cổ phần Dây cáp điện Việt Thái;3600751476;HNX;VTH
1506;CTCP Sản xuất - XNK dệt may;0102405830;UPCOM;VTI
1507;CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ ĐẦU TƯ VI NA TA BA;0305020995;HNX;VTJ
1508;CÔNG TY CỔ PHẦN TƯ VẤN VÀ DỊCH VỤ VIETTEL;0100109106-075;UPCOM;VTK
1509;CTCP Vận tải và đưa đón thợ mỏ - Vinacomin;5700477326;UPCOM;VTM
1510;CTCP Vận tải xăng dầu VITACO;0300545501;HOSE;VTO
1511;Tổng Công ty Cổ phần Bưu chính Viettel;0104093672;HOSE;VTP
1512;Công ty cổ phần Việt Trung Quảng Bình;3100114493;UPCOM;VTQ
1513;CTCP Du lịch và Tiếp thị Giao thông Vận tải Việt Nam - Vietravel;0300465937;UPCOM;VTR
1514;CTCP Gạch ngói Từ Sơn;2300101958;UPCOM;VTS
1515;Công ty Cổ phần Năng lượng và Môi trường VICEM (tên cũ CTCP Vicem Vật tư vận tải xi măng);0100106352;HNX;VTV
1516;Công ty Cổ phần Vận tải đa phương thức Vietranstimex;0400101901;UPCOM;VTX
1517;CTCP Sản xuất và Thương mại nhựa Việt Thành;0310710930;HNX;VTZ
1518;Tổng CTCP Xây dựng công nghiệp Việt Nam;0100779365;UPCOM;VVN
1519;CTCP Đầu tư phát triển Máy Việt Nam;0104498100;HOSE;VVS
1520;CTCP Viwaseen 3;0102133351;UPCOM;VW3
1521;Công ty Cổ phần Nước và Môi trường Việt Nam;0100104972;UPCOM;VWS
1522;CTCP Vật liệu xây dựng Bến Tre;1300108704;UPCOM;VXB
1523;CTCP Thuốc Thú y Trung ương VETVACO;0500237656;UPCOM;VXP
1524;CTCP Kho vận và dịch vụ thương mại;0100107691;UPCOM;VXT
1525;CTCP Bến xe miền Tây;0301121128;HNX;WCS
1526;Công ty Cổ phần Bia Sài Gòn - Miền Tây;1800586579;UPCOM;WSB
1527;CTCP Vận tải thủy - VINACOMIN;5700647458;UPCOM;WTC
1528;CTCP X20;0100109339;HNX;X20
1529;Công ty cổ phần 26;0100108818;UPCOM;X26
1530;CTCP Thành An 77;0700100257;UPCOM;X77
1531;Công ty Cổ phần Đầu tư Xây dựng Dân dụng Hà Nội;0100105380;UPCOM;XDH
1532;CTCP Xuân Hòa Việt Nam;2500161922;UPCOM;XHC
1533;CTCP Xây lắp và Dịch Vụ Sông Đà;0104285261;UPCOM;XLV
1534;Công ty cổ phần Đầu tư và Xây dựng Xuân Mai;0500443916;UPCOM;XMC
1535;CTCP Xuân Mai - Đạo Tú;2500302820;UPCOM;XMD
1536;CTCP Thủy điện Xuân Minh;04112020092714;UPCOM;XMP
1537;Công ty cổ phần Xà phòng Hà Nội;0100100311;UPCOM;XPH
1538;CTCP Xi măng và Khoáng sản Yên Bái;5200216647;UPCOM;YBC
1539;CTCP Khoáng sản Công nghiệp Yên Bái;5200824701;HOSE;YBM
1540;CTCP Tập đoàn Yeah1;0304592171;HOSE;YEG
1541;Công ty Cổ phần Xuất nhập khẩu Y tế TP.Hồ Chí Minh;0302366480;UPCOM;YTC
1542;CTCP Xây dựng Cầu 75 - Cienco8;2900324829;Chưa niêm yết và chưa Upcom;
1543;CTCP Dược phẩm Nam Hà;0600206147;Chưa niêm yết và chưa Upcom;
1544;CTCP Đầu tư Phát triển Gia Định;0305141929;Chưa niêm yết và chưa Upcom;
1545;Công ty cổ phần Dược phẩm Vĩnh Phúc - Vinphaco;2500228415;Chưa niêm yết và chưa Upcom;
1546;Công ty Cổ phần Nha Trang Seafoods - F17;4200567428;Chưa niêm yết và chưa Upcom;
1547;CTCP đầu tư và thương mại Hàng hải Hải Phòng;0200770422;Chưa niêm yết và chưa Upcom;
1548;CTCP Xuất nhập khẩu Nông sản thực phẩm Cà Mau;2000101442;Chưa niêm yết và chưa Upcom;
1549;Ngân hàng TMCP Đại chúng Việt Nam;0101057919;Chưa niêm yết và chưa Upcom;
1550;CTCP Pin ắc quy Vĩnh Phú;2600107968;Chưa niêm yết và chưa Upcom;
1551;CTCP Du lịch xanh Nghệ An - Vneco;2900576978;Chưa niêm yết và chưa Upcom;
1552;CTCP Dược phẩm Thiết bị y tế Hà Nội (Hapharco);0100109699;Chưa niêm yết và chưa Upcom;
1553;Công ty cổ phần May Sài Gòn 2;0302489669;Chưa niêm yết và chưa Upcom;
1554;CTCP Xây dựng và Thương mại 423;2900324586;Chưa niêm yết và chưa Upcom;
1555;CTCP Xuất khẩu nông sản Ninh Thuận;4500213606;Chưa niêm yết và chưa Upcom;
1556;Công ty Cổ Phần Cà phê Khe Sanh;3200193146;Chưa niêm yết và chưa Upcom;
1557;CTCP Xi măng Bắc Giang;2400125180;Chưa niêm yết và chưa Upcom;
1558;Ngân hàng TMCP Bảo Việt;0103126572;Chưa niêm yết và chưa Upcom;
1559;CTCP Vận tải thủy số 3;0200105514;Chưa niêm yết và chưa Upcom;
1560;CTCP Bệnh viện Đa khoa tư nhân Triều An;0301765901;Chưa niêm yết và chưa Upcom;
1561;CTCP Công nghiệp tàu thủy và xây dựng Nam Triệu;0200728188;Chưa niêm yết và chưa Upcom;
1562;CTCP Đầu tư Phan Vũ;0302217087;Chưa niêm yết và chưa Upcom;
1563;Công Ty Cổ Phần An Phú;0303481045;Chưa niêm yết và chưa Upcom;
1564;CTCP Dệt Vĩnh Phú;2600107485;Chưa niêm yết và chưa Upcom;
1565;Công Ty Cổ Phần Vinaconex Sài Gòn;0303156197;Chưa niêm yết và chưa Upcom;
1566;CTCP Cơ Khí Điện Lữ Gia;0312913661;Chưa niêm yết và chưa Upcom;
1567;CÔNG TY CỔ PHẦN XÂY DỰNG SỐ 9.1;2900601092;Chưa niêm yết và chưa Upcom;
1568;Công ty Cổ phần Dệt Hòa Khánh - Đà Nẵng;0400100489;Chưa niêm yết và chưa Upcom;
1569;CTCP XNK Hàng Tiểu thủ công nghiệp Sài Gòn;0302565863;Chưa niêm yết và chưa Upcom;
1570;CTCP Đồng Tiến;3600259810;Chưa niêm yết và chưa Upcom;
1571;CTCP Đầu tư tài chính, thương mại dịch vụ FICO;0102290682;Chưa niêm yết và chưa Upcom;
1572;CTCP Dịch vụ Bưu chính viễn thông Sài Gòn;0300849034;Chưa niêm yết và chưa Upcom;
1573;CTCP Đầu tư và Bê tông Thịnh Liệt;0100105334;Chưa niêm yết và chưa Upcom;
1574;CTCP Vina Food I Hải Dương;0800376668;Chưa niêm yết và chưa Upcom;
1575;CTCP CTCBIO Việt Nam;0305309836;Chưa niêm yết và chưa Upcom;
1576;CTCP Thủy Sản Việt Úc;3400322504;Chưa niêm yết và chưa Upcom;
1577;CTCP Dược - Trang thiết bị y tế Tân Phát;0101394618;Chưa niêm yết và chưa Upcom;
1578;CTCP Xây dựng và Thương mại Hoàng Ngân Sơn;0200737898;Chưa niêm yết và chưa Upcom;
1579;CTCP Gold Sea Việt Nam;0106368185;Chưa niêm yết và chưa Upcom;
1580;CTCP Sản xuất - xuất nhập khẩu Ninh Bình;2700224383;Chưa niêm yết và chưa Upcom;
1581;Công ty cổ phần Tập đoàn Dược Bảo Châu;5100425051;Chưa niêm yết và chưa Upcom;
1582;CTCP Xây lắp Hải Long;0200372213;Chưa niêm yết và chưa Upcom;
1583;CTCP Xây lắp điện Tuy Phước Bình Định;4100258916;Chưa niêm yết và chưa Upcom;
1584;Công ty TNHH Khai thác chế biến khoáng sản Núi Pháo;4600864513;Tổ chức phát hành trái phiếu;
1585;CTCP Vipaco;0101858299;Chưa niêm yết và chưa Upcom;
1586;CTCP Vật liệu xây dựng 720;1800493606;Chưa niêm yết và chưa Upcom;
1587;CTCP Đầu tư và Xây dựng số 14;0300406346;Chưa niêm yết và chưa Upcom;
1588;CTCP Nông nghiệp Dinh dưỡng Quốc tế;3600618918;;
1589;CTCP Bia Hà Nội - Hưng Yên 89;0900270055;HNX;
1590;Công Ty CP XNK Bình Định;4100259797;Chưa niêm yết và chưa Upcom;
1591;CTCP Xây dựng số 2;0101518648;Chưa niêm yết và chưa Upcom;
1592;Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam;0100686174;Tổ chức phát hành trái phiếu;
1593;CTCP Sản xuất Thép Việt Long;0700832042;Chưa niêm yết và chưa Upcom;
1594;CTCP Test GSĐC;0987654321;HNX;
1595;CTCP kinh doanh test;1112131415;;
1596;CTCP Vận Tải Bảo Thắng;5300808206;Chưa niêm yết và chưa Upcom;
1597;Công ty cổ phần Tập đoàn CNCTech;0106839469;Chưa niêm yết và chưa Upcom;
1598;Công ty cổ phần Global Tanker;0315118069;Chưa niêm yết và chưa Upcom;
1599;CTCP Tập đoàn GDC;0106185350;;
1600;Công ty cổ phần Hạ tầng GELEX;0107652657;HOSE;
1601;Công ty cổ phần Logistics U&I;3700492666;Chưa niêm yết và chưa Upcom;
1602;CTCP Nhựa y tế Mediplast;0100816881;Chưa niêm yết và chưa Upcom;
1603;CTCP Xuất nhập khẩu Tổng hợp II;0301184833;Chưa niêm yết và chưa Upcom;
1604;CTCP Mỹ thuật Trung ương;0100111338;Chưa niêm yết và chưa Upcom;
1605;CTCP Vạn Khởi Thành;0102380512;Chưa niêm yết và chưa Upcom;
1606;Công ty Cổ Phần Tập đoàn Golden Gate;0102721191;Chưa niêm yết và chưa Upcom;
1607;Công ty Cổ phần Khóa Việt - Tiệp;0100100537;Chưa niêm yết và chưa Upcom;
1608;CTCP Seoul Metal Việt Nam;2300323118;Chưa niêm yết và chưa Upcom;
1609;CTCP Ê đen;0301023459;Chưa niêm yết và chưa Upcom;
1610;CTCP Công nghệ Sinh học Dược phẩm ICA;3700335511;Chưa niêm yết và chưa Upcom;
1611;Công ty cổ phần Thiết bị Cơ điện và Xây dựng;0100102132;Chưa niêm yết và chưa Upcom;
1612;CTCP Đầu tư và Kinh doanh Bất động sản;3700635875;Chưa niêm yết và chưa Upcom;
1613;CTCP Xây dựng giao thông thủy lợi Kiên Giang;1700111596;Chưa niêm yết và chưa Upcom;
1614;CTCP Mía đường Sơn Dương;5000122053;Chưa niêm yết và chưa Upcom;
1615;CÔNG TY CỔ PHẦN XE LỬA GIA LÂM;0106739760;Chưa niêm yết và chưa Upcom;
1616;CTCP CAVICO Xây dựng Hạ tầng;0100983508-007;Chưa niêm yết và chưa Upcom;
1617;CTCP Đầu tư và Phát triển văn hóa Việt Nam;9999999;Chưa niêm yết và chưa Upcom;
1618;CTCP Đầu tư và phát triển giáo dục HUDECO;0103018918;Chưa niêm yết và chưa Upcom;
1619;Công ty cổ phần Khánh Tân;4200649092;Chưa niêm yết và chưa Upcom;
1620;CTCP Thủy sản Minh Hải;1900264511;Chưa niêm yết và chưa Upcom;
1621;CTCP Xuất nhập khẩu Bắc Giang;2400110949;Chưa niêm yết và chưa Upcom;
1622;CTCP Xây dựng công trình 484;2900383729;Chưa niêm yết và chưa Upcom;
1623;CTCP Xây lắp dầu khí Hà Nội;0104264494;Chưa niêm yết và chưa Upcom;
1624;CTCP Xây dựng thủy lợi 42;3700505019;Chưa niêm yết và chưa Upcom;
1625;CTCP Giấy Lam Sơn Thanh Hóa;2800228769;Chưa niêm yết và chưa Upcom;
1626;CTCP CAVICO Giao Thông;0100983508-005;Chưa niêm yết và chưa Upcom;
1627;CTCP Sông Đà - Đất Vàng;3500821948;Chưa niêm yết và chưa Upcom;
1628;CTCP Tập đoàn An Bình;2400801230;Chưa niêm yết và chưa Upcom;
1629;CTCP Đầu tư và Xây dựng Cotec;0303580769;Chưa niêm yết và chưa Upcom;
1630;CTCP Đầu tư Hợp tác kinh tế Việt Lào;2900329418;Chưa niêm yết và chưa Upcom;
1631;CTCP Đúc Tân Long;0200570945;Chưa niêm yết và chưa Upcom;
1632;CTCP Cung ứng Tàu biển Hải Phòng;0200118111;Chưa niêm yết và chưa Upcom;
1633;CTCP Chế biến thực phẩm Sông Hậu;1800572706;Chưa niêm yết và chưa Upcom;
1634;CTCP Tập đoàn vật liệu chịu lửa Thái Nguyên;4600346712;Chưa niêm yết và chưa Upcom;
1635;CTCP Tư vấn và Xây dựng công trình Miền Trung;2900484195;Chưa niêm yết và chưa Upcom;
1636;CTCP Địa ốc Kinh Đô;0303612890;Chưa niêm yết và chưa Upcom;
1637;CTCP Đầu Tư Thương Mại và Xây dựng Giao Thông 1;0100104732;Chưa niêm yết và chưa Upcom;
1638;CTCP Hàng hải Phú Mỹ;0303921835;Chưa niêm yết và chưa Upcom;
1639;CTCP CAVICO Xây dựng Thủy điện;0100983508-010;Chưa niêm yết và chưa Upcom;
1640;CTCP Cơ khí Ô tô 3-2;0102802161;Chưa niêm yết và chưa Upcom;
1641;CTCP Đầu tư xây dựng bưu chính viễn thông;0302905164;Chưa niêm yết và chưa Upcom;
1642;CTCP Vàng bạc đá quý toàn cầu;2700345155;Chưa niêm yết và chưa Upcom;
1643;CTCP Vận tải Dầu khí Việt Nam (Falcon);0300447310;Chưa niêm yết và chưa Upcom;
1644;CTCP Tơ tằm Á Châu;5800003697;Chưa niêm yết và chưa Upcom;
1645;CTCP Đầu tư xây dựng và du lịch IDICO;4300293072;Chưa niêm yết và chưa Upcom;
1646;CTCP Công nghiệp tàu thủy và Vận tải Cần Thơ;1800277651;Chưa niêm yết và chưa Upcom;
1647;CTCP Gò Đàng;1200575021;Chưa niêm yết và chưa Upcom;
1648;CTCP Tập đoàn HANAKA;2300296337;Chưa niêm yết và chưa Upcom;
1649;CÔNG TY CỔ PHẦN SÔNG ĐÀ NHA TRANG;4200719977;Chưa niêm yết và chưa Upcom;
1650;CTCP Thương mại & Dịch vụ Dầu khí Việt Nam;0102278170;Chưa niêm yết và chưa Upcom;
1651;CTCP Xây dựng 203;0200156815;Chưa niêm yết và chưa Upcom;
1652;CÔNG TY TNHH ĐẦU TƯ PHÁT TRIỂN THẾ GIỚI MỚI;0304971317;Chưa niêm yết và chưa Upcom;
1653;CÔNG TY CỔ PHẦN DƯỢC LIỆU TRUNG ƯƠNG 2;0302597576;Chưa niêm yết và chưa Upcom;
1654;CTCP Sách và thiết bị trường học Thanh Hóa;2800230817;Chưa niêm yết và chưa Upcom;
1655;CTCP Khoáng sản và Luyện kim Việt Nam;0101914063;Chưa niêm yết và chưa Upcom;
1656;CTCP Tân Thành Mỹ;3500757072;Chưa niêm yết và chưa Upcom;
1657;CTCP Xây dựng giao thông và Thương mại 124;0500238314;Chưa niêm yết và chưa Upcom;
1658;CTCP Gốm sứ Thanh Hà;2600322355;Chưa niêm yết và chưa Upcom;
1659;CTCP Tàu Cuốc;0300565610;Chưa niêm yết và chưa Upcom;
1660;Công ty Cổ phần Đầu tư Xây dựng Ricons;0303527596;Chưa niêm yết và chưa Upcom;
1661;CTCP Xây dựng lắp máy điện nước Hà Nội - HAWEICCO;0100105912;Chưa niêm yết và chưa Upcom;
1662;CTCP Lọc hóa dầu Nam Việt (NVO);0305085745;Chưa niêm yết và chưa Upcom;
1663;CTCP Du lịch và Thương mại Quốc tế VINATOUR;0100106828;Chưa niêm yết và chưa Upcom;
1664;CÔNG TY CỔ PHẦN VIỄN ĐÔNG HOLDINGS;0304754785;Chưa niêm yết và chưa Upcom;
1665;CTCP Thương mại và Đại lý dầu tỉnh Bà Rịa - Vũng Tàu;3500102799;Chưa niêm yết và chưa Upcom;
